Soil_Type,Tree_Species,Average_CO2_Absorption_kg_per_year,Ideal_Soil_pH,Ideal_Soil_Moisture_pct,Avg_Yearly_Temp_C,Avg_Yearly_Rainfall_mm,Altitude_m
Sandy,Pine,50,"[5.0,6.5]","[10,20]","[10,18]","[600,1000]","[0,800]"
Sandy,Birch,45,"[5.0,6.5]","[10,25]","[8,16]","[600,1000]","[0,700]"
Sandy,Cedar,55,"[5.5,7.0]","[10,20]","[9,18]","[500,900]","[0,900]"
Sandy,Larch,60,"[5.0,6.5]","[10,25]","[6,16]","[500,900]","[0,1000]"
Sandy,Sea Buckthorn,35,"[5.5,7.5]","[10,20]","[8,18]","[400,800]","[0,300]"
Clay,Poplar,70,"[6.0,7.5]","[30,45]","[8,20]","[700,1200]","[0,600]"
Clay,Elm,65,"[6.0,7.5]","[30,45]","[8,18]","[700,1200]","[0,600]"
Clay,Ash,75,"[6.0,7.5]","[25,40]","[8,18]","[650,1100]","[0,700]"
Clay,Willow,60,"[6.0,7.5]","[35,50]","[8,18]","[700,1300]","[0,500]"
Clay,Hackberry,55,"[6.0,7.5]","[25,40]","[9,18]","[600,1000]","[0,600]"
Loam,Oak,80,"[5.5,7.0]","[20,30]","[8,15]","[600,1000]","[0,800]"
Loam,Maple,75,"[5.5,7.0]","[20,35]","[7,16]","[600,1000]","[0,900]"
Loam,Walnut,85,"[6.0,7.5]","[20,30]","[9,16]","[650,1000]","[0,800]"
Loam,Cherry,60,"[5.5,7.0]","[20,30]","[8,16]","[600,900]","[0,700]"
Loam,Chestnut,90,"[5.5,7.0]","[20,30]","[9,17]","[700,1100]","[0,900]"
Chalky,Beech,65,"[6.5,8.0]","[20,30]","[7,14]","[700,1200]","[0,900]"
Chalky,Hornbeam,60,"[6.5,8.0]","[20,30]","[7,15]","[650,1100]","[0,800]"
Chalky,Maple,70,"[6.5,8.0]","[20,30]","[8,16]","[650,1100]","[0,900]"
Chalky,Yew,40,"[6.5,8.0]","[15,30]","[6,14]","[600,1000]","[0,1000]"
Chalky,Lime,65,"[6.5,8.0]","[20,30]","[8,16]","[650,1100]","[0,800]"
Peaty,Alder,50,"[4.5,6.5]","[40,60]","[6,14]","[800,1500]","[0,700]"
Peaty,Birch,45,"[4.5,6.5]","[35,55]","[6,14]","[800,1500]","[0,700]"
Peaty,Spruce,65,"[4.0,6.0]","[40,60]","[5,13]","[900,1600]","[0,800]"
Peaty,Willow,55,"[4.5,6.5]","[45,65]","[7,15]","[800,1400]","[0,600]"
Peaty,Pine,60,"[4.5,6.0]","[30,50]","[6,14]","[700,1400]","[0,900]"
Rocky,Juniper,25,"[5.0,7.5]","[5,15]","[5,15]","[400,800]","[300,2500]"
Rocky,Pine,45,"[5.0,7.0]","[10,20]","[6,16]","[400,900]","[300,2000]"
Rocky,Cypress,40,"[5.5,7.5]","[10,20]","[8,18]","[400,800]","[200,1800]"
Rocky,Olive,35,"[6.0,8.0]","[10,20]","[10,20]","[400,700]","[0,1200]"
Rocky,Hawthorn,30,"[5.5,7.5]","[10,20]","[7,16]","[500,900]","[200,1500]"
Acidic,Douglas Fir,85,"[4.5,6.5]","[20,35]","[6,18]","[800,1500]","[0,1500]"
Acidic,Spruce,75,"[4.0,6.0]","[25,40]","[5,16]","[900,1600]","[0,1500]"
Acidic,Pine,70,"[4.5,6.5]","[15,30]","[6,18]","[700,1400]","[0,1400]"
Acidic,Hemlock,65,"[4.5,6.0]","[25,40]","[6,16]","[900,1600]","[0,1200]"
Acidic,Redwood,100,"[4.5,6.5]","[30,45]","[8,18]","[900,1800]","[0,900]"
Wet,Willow,60,"[5.5,7.5]","[45,65]","[8,18]","[700,1300]","[0,500]"
Wet,Poplar,70,"[5.5,7.5]","[40,60]","[8,20]","[700,1300]","[0,500]"
Wet,Alder,55,"[5.0,7.0]","[45,65]","[7,16]","[800,1400]","[0,600]"
Wet,Swamp Cypress,80,"[5.5,7.5]","[50,70]","[10,20]","[800,1400]","[0,400]"
Wet,Silver Maple,75,"[5.5,7.5]","[40,60]","[8,18]","[700,1300]","[0,500]"
Urban,London Plane,70,"[6.0,8.0]","[20,35]","[9,20]","[600,1000]","[0,500]"
Urban,Maple,65,"[6.0,7.5]","[20,35]","[8,18]","[600,1000]","[0,600]"
Urban,Linden,60,"[6.0,7.5]","[20,35]","[8,18]","[600,1000]","[0,600]"
Urban,Ginkgo,55,"[6.0,7.5]","[15,30]","[9,20]","[500,900]","[0,500]"
Urban,Elm,65,"[6.0,7.5]","[20,35]","[8,18]","[600,1000]","[0,600]"
